epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,9384.02,1.35254,0.86536,1.17908,0.86768,0.80453,0.8656,0.52238,1.46564,0.87268,1.24993,0.0004687,0.0004687,0.0004687
163,9439.12,1.34777,0.86672,1.18409,0.87044,0.80424,0.86608,0.52088,1.46607,0.87294,1.24957,0.0004654,0.0004654,0.0004654
164,9494.03,1.33759,0.85092,1.17736,0.8701,0.80135,0.86616,0.52243,1.4649,0.87052,1.24943,0.0004621,0.0004621,0.0004621
165,9548.93,1.3416,0.85589,1.17977,0.87551,0.80135,0.86613,0.52167,1.46388,0.87209,1.24965,0.0004588,0.0004588,0.0004588
166,9604.97,1.34686,0.85221,1.18307,0.87693,0.79845,0.86471,0.52172,1.46286,0.87002,1.24984,0.0004555,0.0004555,0.0004555
167,9660.23,1.32328,0.84357,1.17068,0.87681,0.79955,0.86467,0.5227,1.4623,0.86834,1.24967,0.0004522,0.0004522,0.0004522
168,9716.1,1.35124,0.85856,1.17805,0.87576,0.80351,0.86593,0.52225,1.46165,0.86554,1.24902,0.0004489,0.0004489,0.0004489
169,9771.81,1.33593,0.85312,1.17102,0.87797,0.79905,0.86616,0.52364,1.46037,0.86338,1.24886,0.0004456,0.0004456,0.0004456
170,9827.74,1.33855,0.84555,1.17506,0.87958,0.79918,0.86412,0.52441,1.4586,0.86253,1.24877,0.0004423,0.0004423,0.0004423
171,9882.85,1.34346,0.84632,1.17449,0.8808,0.80032,0.86579,0.52478,1.45811,0.861,1.24763,0.000439,0.000439,0.000439
172,9940.9,1.32811,0.83717,1.17253,0.88442,0.79931,0.86498,0.52515,1.45763,0.86017,1.2472,0.0004357,0.0004357,0.0004357
173,9998.6,1.3345,0.84451,1.17704,0.88284,0.79864,0.86529,0.52597,1.45691,0.85944,1.24772,0.0004324,0.0004324,0.0004324
174,10054.7,1.32629,0.83703,1.1749,0.88214,0.80155,0.86529,0.52644,1.45715,0.85981,1.2485,0.0004291,0.0004291,0.0004291
175,10115.2,1.31292,0.83076,1.16821,0.8821,0.80139,0.86561,0.52679,1.45582,0.85983,1.24797,0.0004258,0.0004258,0.0004258
176,10172.8,1.30963,0.82866,1.17029,0.87968,0.80375,0.86565,0.52695,1.45557,0.85916,1.24765,0.0004225,0.0004225,0.0004225
177,10231.2,1.31541,0.83392,1.16543,0.88107,0.80302,0.86514,0.52717,1.45545,0.85817,1.2477,0.0004192,0.0004192,0.0004192
178,10287,1.32433,0.8319,1.16532,0.88294,0.80216,0.86487,0.52939,1.45462,0.85683,1.24687,0.0004159,0.0004159,0.0004159
179,10343.7,1.31281,0.82956,1.1635,0.8826,0.80103,0.86489,0.52935,1.45311,0.85748,1.24652,0.0004126,0.0004126,0.0004126
180,10401,1.302,0.81625,1.1565,0.88363,0.8001,0.86495,0.52986,1.45219,0.85615,1.24534,0.0004093,0.0004093,0.0004093
